app_lang_sign	en	pl	de	es	pt	fr	it	tr	id	th	ja	ko	zh	ar	ru	uk	vi	hi	bn	ur	ms	sw	he	el	nl	sv	ro	hu	cs	sk	sr	bg
preference_main_screen_mode_day	Day	Dzienny	Tag	Día	Dia	Jour	Giorno	Gün	Hari	วัน	日	낮	天	يوم	День	День	Ngày	दिन	দিন	دن	Siang	Mchana	יום	Ημέρα	Dag	Dag	Zi	Nappal	Den	Deň	Dan	Ден
preference_main_screen_mode_night	Night	Nocny	Nacht	Noche	Noite	Nuit	Notte	Gece	Malam	กลางคืน	夜	밤	夜晚	ليلة	Ночь	ніч	Đêm	रात	রাত্রি	رات	Malam	Usiku	לילה	Νύχτα	Nacht	Natt	Noapte	Éjjel	Noc	Noc	Noć	Нощ
preference_main_separator_decimal	Decimal separator	Separator dziesiętny	Dezimaltrennzeichen	Separador decimal	Separador decimal	Séparateur décimal	Separatore decimale	Ondalık ayırıcı	Pemisah desimal	ตัวคั่นทศนิยม	小数点区切り文字	소수 구분 기호	小数点分隔符	الفاصل العشري	Десятичный разделитель	Десятковий роздільник	Phân số thập phân	दशमलव विभाजक	দশমিক বিভাজক	اعشاریہ الگ کرنے والا	Pemisah perpuluhan	Kitenganishi cha desimali	מפריד עשרוני	Διαχωριστικό δεκαδικών	Decimaal scheidingsteken	Decimaltecken	Separator zecimal	Tizedeselválasztó	Oddělovač desetinných míst	Desatinný oddeľovač	Decimalni separator	Десетичен разделител
preference_main_separator_dot	Use dot	Użyj kropki	Verwenden Sie Punkt	usar punto	Usar ponto	Utiliser le point	Usa il punto	Nokta kullan	Gunakan titik	ใช้จุด	ドットを使用する	점 사용	使用点	استخدم نقطة	Используйте точку	Використовуйте крапку	Sử dụng dấu chấm	बिंदी का प्रयोग करें	ডট ব্যবহার করুন	ڈاٹ استعمال کریں۔	Gunakan titik	Tumia nukta	השתמש בנקודה	Χρήση τελείας	Gebruik punt	Använd punkt	Utilizează punct	Pont használata	Použít tečku	Použiť bodku	Koristi tačku	Използване на точка
preference_main_separator_comma	Use comma	Użyj przecinka	Verwenden Sie Komma	usar coma	Usar vírgula	Utiliser une virgule	Usa la virgola	Virgül kullan	Gunakan koma	ใช้ลูกน้ำ	カンマを使用する	쉼표를 사용하세요	使用逗号	استخدم الفاصلة	Используйте запятую	Використовуйте кому	Sử dụng dấu phẩy	अल्पविराम का प्रयोग करें	কমা ব্যবহার করুন	کوما استعمال کریں۔	Gunakan koma	Tumia koma	השתמש בפסיק	Χρήση κόμματος	Gebruik komma	Använd komma	Utilizează virgulă	Vessző használata	Použít čárku	Použiť čiarku	Koristi zarez	Използване на запетая
preference_main_temperature_measure	Temperature unit	Jednostka temperatury	Temperatureinheit	Unidad de temperatura	Unidade de temperatura	Unité de température	Unità di temperatura	Sıcaklık birimi	Satuan suhu	หน่วยอุณหภูมิ	温度単位	온도 단위	温度单位	درجة الحرارة وحدة	Единица измерения температуры	Одиниця вимірювання температури	Đơn vị nhiệt độ	तापमान इकाई	তাপমাত্রা ইউনিট	درجہ حرارت یونٹ	Unit suhu	Kitengo cha halijoto	יחידת טמפרטורה	Μονάδα θερμοκρασίας	Temperatureenheid	Temperaturenhet	Unitate temperatură	Hőmérséklet mértékegysége	Jednotka teploty	Jednotka teploty	Jedinica temperature	Температурна единица
preference_main_temperature_celsius	Use degrees celsius	Użyj stopni celsjusza	Verwenden Sie Grad Celsius	Usa grados centígrados	Usar graus Celsius	Utiliser des degrés Celsius	Usa i gradi Celsius	Santigrat dereceyi kullanın	Gunakan derajat celcius	ใช้องศาเซลเซียส	摂氏度を使用する	섭씨 온도 사용	使用摄氏度	استخدام درجات مئوية	Используйте градусы Цельсия	Використовуйте градуси Цельсія	Sử dụng độ C	डिग्री सेल्सियस का प्रयोग करें	ডিগ্রি সেলসিয়াস ব্যবহার করুন	ڈگری سیلسیس استعمال کریں۔	Gunakan darjah celsius	Tumia digrii Selsiasi	השתמש במעלות צלזיוס	Χρήση βαθμών Κελσίου	Gebruik graden Celsius	Använd grader Celsius	Utilizează grade Celsius	Celsius fok használata	Použít stupně Celsia	Použiť stupne Celzia	Koristite Celzijusove stepene	Използване на градуси по Целзий
preference_main_temperature_fahrenheit	Use degrees fahrenheit	Użyj stopni fahrenheita	Verwenden Sie Grad Fahrenheit	Usa grados fahrenheit	Usar graus Fahrenheit	Utiliser les degrés Fahrenheit	Usa i gradi Fahrenheit	Fahrenheit derecesini kullan	Gunakan derajat fahrenheit	ใช้องศาฟาเรนไฮต์	華氏を使用	화씨를 사용하세요	使用华氏度	استخدم درجات فهرنهايت	Используйте градусы Фаренгейта	Використовуйте градуси Фаренгейта	Sử dụng độ F	डिग्री फारेनहाइट का प्रयोग करें	ডিগ্রি ফারেনহাইট ব্যবহার করুন	ڈگری فارن ہائیٹ استعمال کریں۔	Gunakan darjah fahrenheit	Tumia digrii Fahrenheit	השתמש במעלות פרנהייט	Χρήση βαθμών Φαρενάιτ	Gebruik graden Fahrenheit	Använd grader Fahrenheit	Utilizează grade Fahrenheit	Fahrenheit fok használata	Použít stupně Fahrenheita	Použiť stupne Fahrenheita	Koristite Farenhajtove stepene	Използване на градуси по Фаренхайт
preference_temperature_average_values	Temperature - average values	Temperatura - wartości średnie	Temperatur - Durchschnittswerte	Temperatura - valores medios	Temperatura - valores médios	Température - valeurs moyennes	Temperatura - valori medi	Sıcaklık - ortalama değerler	Suhu - nilai rata-rata	อุณหภูมิ - ค่าเฉลี่ย	温度 - 平均値	온도 - 평균값	温度 - 平均值	درجة الحرارة - متوسط القيم	Температура – средние значения	Температура - середні значення	Nhiệt độ - giá trị trung bình	तापमान - औसत मान	তাপমাত্রা - গড় মান	درجہ حرارت - اوسط اقدار	Suhu - nilai purata	Halijoto - thamani za wastani	טמפרטורה - ערכים ממוצעים	Θερμοκρασία - μέσες τιμές	Temperatuur - gemiddelde waarden	Temperatur - genomsnittliga värden	Temperatură - valori medii	Hőmérséklet - átlagértékek	Teplota - průměrné hodnoty	Teplota - priemerné hodnoty	Temperatura - prosečne vrednosti	Температура - средни стойности
preference_voltage_average_values	Voltage - average values	Napięcie - wartości średnie	Spannung - Durchschnittswerte	Tensión - valores medios	Tensão - valores médios	Tension - valeurs moyennes	Voltaggio - valori medi	Gerilim - ortalama değerler	Tegangan - nilai rata-rata	แรงดันไฟฟ้า - ค่าเฉลี่ย	電圧 - 平均値	전압 - 평균값	电压 - 平均值	الجهد - القيم المتوسطة	Напряжение – средние значения	Напруга - середні значення	Điện áp - giá trị trung bình	वोल्टेज - औसत मान	ভোল্টেজ - গড় মান	وولٹیج - اوسط اقدار	Voltan - nilai purata	Voltage - thamani za wastani	מתח - ערכים ממוצעים	Τάση - μέσες τιμές	Voltage - gemiddelde waarden	Spänning - genomsnittliga värden	Tensiune - valori medii	Feszültség - átlagértékek	Napětí - průměrné hodnoty	Napätie - priemerné hodnoty	Napon - prosečne vrednosti	Волтаж - средни стойности
preference_average_values_none	Hide	Ukryj	Verstecken	Esconder	Esconder	Cacher	Nascondere	Saklamak	Bersembunyi	ซ่อน	隠れる	숨다	隐藏	يخفي	Скрывать	Сховати	Trốn	छिपाना	লুকান	چھپائیں	Sembunyi	Ficha	הסתר	Απόκρυψη	Verbergen	Dölj	Ascunde	Elrejtés	Skrýt	Skryť	Sakrij	Скрий
preference_average_values_from_app_install	From application installation(parameters reset)	Od instalacji aplikacji(przywrócenia parametrów)	Von der Anwendungsinstallation(Parameter zurückgesetzt)	Desde la instalación de la aplicación(restablecimiento de parámetros)	Da instalação do aplicativo(redefinição de parâmetros)	Depuis l\'installation de l\'application(réinitialisation des paramètres)	Dall\'installazione dell\'applicazione(reimpostazione dei parametri)	Uygulama kurulumundan(parametrelerin sıfırlanması)	Dari instalasi aplikasi(reset parameter)	จากการติดตั้งแอปพลิเคชัน(รีเซ็ตพารามิเตอร์)	アプリケーションインストールから（パラメータリセット）	애플리케이션 설치(매개변수 재설정)에서	从应用程序安装（参数重置）	من تثبيت التطبيق (إعادة ضبط المعلمات)	С установки приложения(сброс параметров)	З інсталяції програми (скидання параметрів)	Từ cài đặt ứng dụng (đặt lại thông số)	एप्लिकेशन इंस्टॉलेशन से (पैरामीटर रीसेट)	অ্যাপ্লিকেশন ইনস্টলেশন থেকে (প্যারামিটার রিসেট)	ایپلیکیشن کی تنصیب سے (پیرامیٹر ری سیٹ)	Dari pemasangan aplikasi (parameter ditetapkan semula)	Kutoka kwa usakinishaji wa programu (vigezo vimeanzishwa upya)	מהתקנת היישום (איפוס פרמטרים)	Από την εγκατάσταση της εφαρμογής (επαναφορά παραμέτρων)	Vanaf installatie van de applicatie (parameters resetten)	Från applikationsinstallation (parametrar återställs)	De la instalarea aplicației (parametri resetați)	Az alkalmazás telepítésétől (paraméterek visszaállítása)	Od instalace aplikace (reset parametrů)	Od inštalácie aplikácie (reset parametrov)	Od instalacije aplikacije (parametri resetovani)	От инсталирането на приложението (параметри нулирани)
preference_average_values_from_app_start	From application start	Od startu aplikacji	Ab Bewerbungsstart	Desde el inicio de la aplicación	Desde o início do aplicativo	Dès le début de l\'application	Dall\'inizio dell\'applicazione	Uygulama başlangıcından	Dari awal aplikasi	ตั้งแต่เริ่มต้นการสมัคร	アプリ起動から	신청 시작부터	从申请开始	من بداية التطبيق	С момента запуска приложения	Від початку програми	Từ khi bắt đầu ứng dụng	आवेदन प्रारंभ से	আবেদন শুরু থেকে	درخواست کے آغاز سے	Dari permulaan aplikasi	Kutoka kwa kuanza kwa programu	מתחילת היישום	Από την έναρξη της εφαρμογής	Vanaf start van de applicatie	Från applikationsstart	De la pornirea aplicației	Az alkalmazás indításától	Od spuštění aplikace	Od spustenia aplikácie	Od početka aplikacije	От стартирането на приложението
preference_average_values_from_charge_start	From last charging/discharging start	Od rozpoczęcia ostatniego ładowania/rozładowania	Seit dem letzten Lade-/Entladestart	Desde el último inicio de carga/descarga	Desde o último início de carga/descarga	Depuis le dernier démarrage de charge/décharge	Dall\'ultimo avvio di carica/scarica	Son şarj/deşarj başlangıcından itibaren	Dari awal pengisian/pengosongan terakhir	จากการเริ่มต้นการชาร์จ/คายประจุครั้งล่าสุด	前回の充放電開始から	마지막 충전/방전 시작부터	从上次充电/放电开始	من بداية الشحن/التفريغ الأخيرة	С момента последнего начала зарядки/разрядки	Від початку останнього заряджання/розряджання	Từ lần bắt đầu sạc/xả cuối cùng	अंतिम चार्जिंग/डिस्चार्जिंग से प्रारंभ	শেষ চার্জিং/ডিসচার্জিং শুরু থেকে	آخری چارجنگ / ڈسچارج شروع ہونے سے	Dari permulaan pengecasan/penyahcasan terakhir	Kutoka kwa kuanza kwa kuchaji/kutoa chaji mara ya mwisho	מתחילת הטעינה/פריקה האחרונה	Από την τελευταία έναρξη φόρτισης/εκφόρτισης	Vanaf laatste start van opladen/ontladen	Från senaste laddning/urladdning start	De la ultima pornire a încărcării/descărcării	Az utolsó töltés/kisütés kezdetétől	Od posledního zahájení nabíjení/vybíjení	Od posledného začiatku nabíjania/vybíjania	Od poslednjeg početka punjenja/pražnjenja	От последното стартиране на зареждане/разреждане
preferences_on_event_title	Alarms/notifications with sound/voice	Alarmy/powiadomienia dźwiękowe/głosowe	Alarme/Benachrichtigungen mit Ton/Sprache	Alarmas/notificaciones con sonido/voz	Alarmes/notificações com som/voz	Alarmes/notifications avec son/voix	Allarmi/notifiche con suono/voce	Sesli/sesli alarmlar/bildirimler	Alarm/pemberitahuan dengan suara/suara	สัญญาณเตือน/การแจ้งเตือนด้วยเสียง/เสียง	音/音声によるアラーム/通知	소리/음성으로 알람/알림	声音/语音警报/通知	الإنذارات/الإخطارات مع الصوت/الصوت	Сигналы тревоги/уведомления со звуком/голосом	Будильники/сповіщення зі звуком/голосом	Báo động/thông báo bằng âm thanh/giọng nói	ध्वनि/आवाज़ के साथ अलार्म/सूचनाएँ	শব্দ/ভয়েস সহ অ্যালার্ম/বিজ্ঞপ্তি	آواز/آواز کے ساتھ الارم/اطلاعات	Penggera/pemberitahuan dengan bunyi/suara	Kengele/arifa zenye sauti/sauti	אזעקות/התראות עם צליל/קול	Ειδοποιήσεις/ξυπνητήρια με ήχο/φωνή	Alarmen/meldingen met geluid/stem	Larm/aviseringar med ljud/röst	Alarme/notificări cu sunet/voce	Riasztások/értesítések hanggal/hanggal	Alarmy/oznámení se zvukem/hlasem	Alarmy/upozornenia so zvukom/hlasom	Alarmi/obaveštenja sa zvukom/glasom	Аларми/известия със звук/глас
preference_msg_system_notifications_off	System notifications are turn off in application settings	Powiadomienia systemowe są wyłączone w ustawieniach aplikacji	Systembenachrichtigungen sind in den Anwendungseinstellungen deaktiviert	Las notificaciones del sistema están desactivadas en la configuración de la aplicación.	As notificações do sistema estão desativadas nas configurações do aplicativo	Les notifications système sont désactivées dans les paramètres de l\'application	Le notifiche di sistema sono disattivate nelle impostazioni dell\'applicazione	Uygulama ayarlarında sistem bildirimleri kapatılıyor	Notifikasi sistem dimatikan dalam pengaturan aplikasi	การแจ้งเตือนของระบบปิดอยู่ในการตั้งค่าแอปพลิเคชัน	アプリケーション設定でシステム通知がオフになっている	애플리케이션 설정에서 시스템 알림이 꺼졌습니다.	在应用程序设置中关闭系统通知	يتم إيقاف إشعارات النظام في إعدادات التطبيق	Системные уведомления отключены в настройках приложения.	Системні сповіщення вимикаються в налаштуваннях програми	Thông báo hệ thống bị tắt trong cài đặt ứng dụng	एप्लिकेशन सेटिंग्स में सिस्टम सूचनाएं बंद हैं	অ্যাপ্লিকেশন সেটিংসে সিস্টেম বিজ্ঞপ্তিগুলি বন্ধ করা হয়৷	سسٹم کی اطلاعات ایپلیکیشن کی ترتیبات میں بند ہیں۔	Pemberitahuan sistem dimatikan dalam tetapan aplikasi	Arifa za mfumo zimezimwa katika mipangilio ya programu	התראות המערכת כבויות בהגדרות היישום	Οι ειδοποιήσεις συστήματος είναι απενεργοποιημένες στις ρυθμίσεις της εφαρμογής	Systeemmeldingen zijn uitgeschakeld in de applicatie-instellingen	Systemaviseringar är avstängda i applikationsinställningarna	Notificările sistemului sunt dezactivate în setările aplicației	A rendszerértesítések ki vannak kapcsolva az alkalmazás beállításaiban	Systémová oznámení jsou v nastavení aplikace vypnuta	Systémové upozornenia sú vypnuté v nastaveniach aplikácie	Sistemska obaveštenja su isključena u podešavanjima aplikacije	Системните известия са изключени в настройките на приложението
preference_on_event_use_system_notifications	Show system notifications	Pokaż powiadomienia systemowe	Systembenachrichtigungen anzeigen	Mostrar notificaciones del sistema	Mostrar notificações do sistema	Afficher les notifications du système	Mostra notifiche di sistema	Sistem bildirimlerini göster	Tampilkan pemberitahuan sistem	แสดงการแจ้งเตือนของระบบ	システム通知を表示する	시스템 알림 표시	显示系统通知	إظهار إشعارات النظام	Показать системные уведомления	Показати системні сповіщення	Hiển thị thông báo hệ thống	सिस्टम सूचनाएं दिखाएं	সিস্টেম বিজ্ঞপ্তি দেখান	سسٹم کی اطلاعات دکھائیں۔	Tunjukkan pemberitahuan sistem	Onyesha arifa za mfumo	הצג התראות מערכת	Εμφάνιση ειδοποιήσεων συστήματος	Toon systeemmeldingen	Visa systemaviseringar	Afișează notificările sistemului	Rendszerértesítések megjelenítése	Zobrazit systémová oznámení	Zobraziť systémové upozornenia	Prikaži sistemska obaveštenja	Показване на системни известия
preference_on_event_use_system_notifications2	banner with separate sound/vibration/light	dymek z osobnym dźwiękiem/wibracjami/światłem	Banner mit separatem Ton/Vibration/Licht	pancarta con sonido/vibración/luz separados	banner com som/vibração/luz separados	bannière avec son/vibration/lumière séparés	banner con suono/vibrazione/luce separati	ayrı ses/titreşim/ışık içeren banner	spanduk dengan suara/getaran/cahaya terpisah	แบนเนอร์พร้อมเสียง/การสั่นสะเทือน/แสงแยกกัน	独立した音/振動/光を備えたバナー	별도의 소리/진동/빛이 있는 배너	具有独立声音/振动/灯光的横幅	لافتة مع صوت/اهتزاز/ضوء منفصل	баннер с отдельным звуком/вибрацией/светом	банер з окремим звуком/вібрацією/світлом	biểu ngữ có âm thanh/rung/ánh sáng riêng biệt	अलग ध्वनि/कंपन/प्रकाश वाला बैनर	পৃথক শব্দ/কম্পন/আলো সহ ব্যানার	علیحدہ آواز/ کمپن/ روشنی کے ساتھ بینر	banner dengan bunyi/getaran/cahaya berasingan	bango lenye sauti/mtetemo/mwanga tofauti	באנר עם צליל/רטט/אור נפרדים	μπάνερ με ξεχωριστό ήχο/δόνηση/φως	banner met apart geluid/trilling/licht	banner med separat ljud/vibration/ljus	banner cu sunet/vibrație/lumină separate	szalag külön hanggal/rezgéssel/fénnyel	banner se samostatným zvukem/vibrací/světlem	banner s oddeleným zvukom/vibráciou/svetlom	baner sa odvojenim zvukom/vibracijom/svetlom	банер с отделен звук/вибрация/светлина
preference_on_event_add_time	Speak the current time before notification	Powiedz bieżący czas przed powiadomieniem	Sprechen Sie die aktuelle Uhrzeit vor der Benachrichtigung	Habla la hora actual antes de la notificación.	Fale a hora atual antes da notificação	Dites l\'heure actuelle avant la notification	Pronuncia l\'ora corrente prima della notifica	Bildirimden önce geçerli saati söyleyin	Ucapkan waktu saat ini sebelum pemberitahuan	พูดเวลาปัจจุบันก่อนการแจ้งเตือน	通知の前に現在時刻を読み上げる	알림 전에 현재 시간을 말하세요.	通知前说出当前时间	تحدث بالوقت الحالي قبل الإخطار	Произнесите текущее время перед уведомлением	Продиктуйте поточний час перед сповіщенням	Nói thời gian hiện tại trước khi thông báo	अधिसूचना से पहले वर्तमान समय बोलें	বিজ্ঞপ্তির আগে বর্তমান সময়ের কথা বলুন	اطلاع سے پہلے موجودہ وقت بولیں۔	Sebutan waktu semasa sebelum pemberitahuan	Sema saa ya sasa kabla ya arifa	דבר את השעה הנוכחית לפני ההתראה	Αναφέρετε την τρέχουσα ώρα πριν από την ειδοποίηση	Spreek de huidige tijd uit voor de melding	Tala om aktuell tid före avisering	Anunță ora curentă înainte de notificare	A pontos idő kimondása az értesítés előtt	Před oznámením vyslovit aktuální čas	Hlasové oznámenie aktuálneho času pred upozornením	Izgovorite trenutno vreme pre obaveštenja	Говорене на текущото време преди известието
preference_on_event_start	Notify at application startup	Powiadom przy starcie aplikacji	Beim Start der Anwendung benachrichtigen	Notificar al inicio de la aplicación	Notificar na inicialização do aplicativo	Notifier au démarrage de l\'application	Notifica all\'avvio dell\'applicazione	Uygulama başlatıldığında bildir	Beri tahu saat startup aplikasi	แจ้งเตือนเมื่อเริ่มต้นแอปพลิเคชัน	アプリ起動時に通知する	애플리케이션 시작 시 알림	应用程序启动时通知	الإخطار عند بدء تشغيل التطبيق	Уведомлять при запуске приложения	Сповіщати під час запуску програми	Thông báo khi khởi động ứng dụng	एप्लिकेशन स्टार्टअप पर सूचित करें	অ্যাপ্লিকেশন স্টার্টআপে অবহিত করুন	درخواست کے آغاز پر مطلع کریں۔	Beritahu semasa permulaan aplikasi	Arifu wakati programu inapoanza	הודע בעת הפעלת היישום	Ειδοποίηση κατά την εκκίνηση της εφαρμογής	Meld bij het opstarten van de applicatie	Meddela vid applikationsstart	Notifică la pornirea aplicației	Értesítés az alkalmazás indításakor	Upozornit při spuštění aplikace	Upozorniť pri spustení aplikácie	Obavesti pri pokretanju aplikacije	Известяване при стартиране на приложението
preference_on_event_change	Notify on changes in health, charging, charger	Powiadom przy zmianach zdrowia, ładowania, podłączenia	Benachrichtigen Sie über Änderungen des Zustands, des Ladevorgangs und des Ladegeräts	Notificar sobre cambios en salud, carga, cargador.	Notificar sobre mudanças na saúde, cobrança, carregador	Notifier les changements de santé, de charge, de chargeur	Notifica cambiamenti di salute, ricarica, caricabatterie	Sağlık, şarj ve şarj cihazındaki değişiklikleri bildir	Beritahukan tentang perubahan kesehatan, pengisian daya, pengisi daya	แจ้งการเปลี่ยนแปลงด้านสุขภาพ การชาร์จ การชาร์จ	健康状態、充電、充電器の変化を通知	건강, 충전, 충전기 변경 사항 알림	通知健康状况、充电、充电器的变化	إعلام بالتغيرات في الصحة والشحن والشاحن	Уведомлять об изменениях в здоровье, зарядке, зарядном устройстве	Повідомляти про зміни в працездатності, зарядці, зарядному пристрої	Thông báo thay đổi về sức khỏe, sạc, sạc	स्वास्थ्य, चार्जिंग, चार्जर में परिवर्तन पर सूचित करें	স্বাস্থ্য, চার্জিং, চার্জারের পরিবর্তন সম্পর্কে অবহিত করুন	صحت، چارجنگ، چارجر میں تبدیلیوں پر مطلع کریں۔	Beritahu tentang perubahan dalam kesihatan, pengecasan, pengecas	Arifu kuhusu mabadiliko katika afya, kuchaji, chaja	הודע על שינויים בבריאות, טעינה, מטען	Ειδοποίηση για αλλαγές στην υγεία, τη φόρτιση, τον φορτιστή	Meld bij wijzigingen in gezondheid, opladen, oplader	Meddela om ändringar i hälsa, laddning, laddare	Notifică la modificări ale stării de sănătate, încărcare, încărcător	Értesítés az állapot, töltés, töltő változásakor	Upozornit na změny stavu, nabíjení, nabíječky	Upozorniť na zmeny stavu, nabíjania, nabíjačky	Obavesti o promenama u zdravlju, punjenju, punjaču	Известяване при промени в здравето, зареждането, зарядното устройство
preference_on_event_screen	Notify on unlock button	Powiadom przyciskiem odblokowania	Beim Entsperren benachrichtigen	Notificar al botón de desbloqueo	Notificar no botão de desbloqueio	Notifier sur le bouton de déverrouillage	Notifica sul pulsante di sblocco	Kilit açma düğmesinde bildirim gönder	Beritahu pada tombol buka kunci	แจ้งเตือนเมื่อปุ่มปลดล็อค	ロック解除ボタンを通知する	잠금 해제 버튼 알림	解锁按钮时通知	إعلام على زر فتح	Уведомить о кнопке разблокировки	Сповіщати про кнопку розблокування	Thông báo trên nút mở khóa	अनलॉक बटन पर सूचित करें	আনলক বোতামে অবহিত করুন	انلاک بٹن پر مطلع کریں۔	Beritahu pada butang buka kunci	Arifu kwenye kitufe cha kufungua	הודע על כפתור הנעילה	Ειδοποίηση στο κουμπί ξεκλειδώματος	Meld bij ontgrendelknop	Meddela på upplåsningsknappen	Notifică la butonul de deblocare	Értesítés a feloldó gombnál	Upozornit na tlačítko odemknutí	Upozorniť na tlačidlo odomknutia	Obavesti na dugme za otključavanje	Известяване на бутона за отключване
preference_on_event_time	Notify on time	Powiadom na czas	Rechtzeitig benachrichtigen	Notificar a tiempo	Avise na hora certa	Notifier à temps	Avvisare in tempo	Zamanında bildir	Beritahu tepat waktu	แจ้งให้ทราบตรงเวลา	時間通りに通知する	정시에 알림	按时通知	إخطار في الوقت المحدد	Уведомляйте вовремя	Повідомити вчасно	Thông báo đúng giờ	समय पर सूचित करें	সময়মত অবহিত করুন	بروقت اطلاع دیں۔	Beritahu pada waktu	Arifu kwa wakati	הודע בזמן	Ειδοποίηση στην ώρα	Meld op tijd	Meddela vid tid	Notifică la oră	Értesítés időpontban	Upozornit v čase	Upozorniť v čase	Obavesti na vreme	Известяване по време
preference_on_event_time_minutes	On time repetition period (in minutes)	Okres powtarzania na czas (w minutach)	Pünktlichkeitswiederholungszeitraum (in Minuten)	Periodo de repetición puntual (en minutos)	Período de repetição pontual (em minutos)	Période de répétition du temps (en minutes)	Periodo di ripetizione del tempo (in minuti)	Zamanında tekrarlama süresi (dakika cinsinden)	Periode pengulangan tepat waktu (dalam menit)	ระยะเวลาการทำซ้ำตรงเวลา (เป็นนาที)	時間通りの繰り返し期間（分単位）	정시 반복 주기 (분)	准时重复周期（以分钟为单位）	فترة التكرار في الوقت المحدد (بالدقائق)	Период повторения по времени (в минутах)	Період повторення за часом (у хвилинах)	Khoảng thời gian lặp lại đúng giờ (tính bằng phút)	समय पर पुनरावृत्ति अवधि (मिनटों में)	যথাসময়ে পুনরাবৃত্তির সময়কাল (মিনিটের মধ্যে)	وقت پر تکرار کی مدت (منٹ میں)	Tempoh ulangan waktu (dalam minit)	Kipindi cha marudio ya wakati (kwa dakika)	תקופת חזרה בזמן (בדקות)	Περίοδος επανάληψης στην ώρα (σε λεπτά)	Herhalingsperiode op tijd (in minuten)	Repetitionsperiod för tid (i minuter)	Perioada de repetare la oră (în minute)	Időpont ismétlődési periódusa (percben)	Doba opakování v čase (v minutách)	Perióda opakovania v čase (v minútach)	Period ponavljanja vremena (u minutima)	Период на повторение по време (в минути)
preferences_background_title	Background activity	Działanie w tle	Hintergrundaktivität	Actividad en segundo plano	Atividade em segundo plano	Activité en arrière-plan	Attività in background	Arka plan etkinliği	Aktivitas latar belakang	กิจกรรมพื้นหลัง	バックグラウンド アクティビティ	백그라운드 활동	後台活動	النشاط في الخلفية	Фоновая активность	Фонова активність	Hoạt động trong nền	पृष्ठभूमि गतिविधि	ব্যাকগ্রাউন্ড কার্যকলাপ	پس منظر کی سرگرمی	Aktiviti latar belakang	Shughuli ya chinichini	פעילות רקע	Δραστηριότητα παρασκηνίου	Achtergrondactiviteit	Bakgrundsaktivitet	Activitate în fundal	Háttértevékenység	Aktivita na pozadí	Aktivita na pozadí	Aktivnost u pozadini	Фонова активност
preference_background_service	Run service	Uruchom usługę	Dienst ausführen	Ejecutar servicio	Executar serviço	Exécuter le service	Esegui servizio	Hizmeti çalıştır	Jalankan layanan	เรียกใช้บริการ	サービスの実行	서비스 실행	運行服務	تشغيل الخدمة	Запустить службу	Запустити службу	Chạy dịch vụ	सेवा चलाएँ	পরিষেবা চালান	سروس چلائیں	Jalankan perkhidmatan	Endesha huduma	הפעל שירות	Εκτέλεση υπηρεσίας	Service uitvoeren	Kör tjänst	Rulează serviciul	Szolgáltatás futtatása	Spustit službu	Spustiť službu	Pokreni uslugu	Стартиране на услугата
preference_background_autostart	Automatic start after device restart	Automatyczny start po ponownym uruchomieniu urządzenia	Automatischer Start nach Geräte-Neustart	Inicio automático después de reiniciar el dispositivo	Início automático após reiniciar o dispositivo	Démarrage automatique après le redémarrage de l\'appareil	Avvio automatico dopo il riavvio del dispositivo	Cihaz yeniden başlatıldıktan sonra otomatik başlatma	Mulai otomatis setelah perangkat dimulai ulang	เริ่มต้นอัตโนมัติหลังจากรีสตาร์ทอุปกรณ์	デバイス再起動後の自動起動	장치 재시작 후 자동 시작	设备重启后自动启动	التشغيل التلقائي بعد إعادة تشغيل الجهاز	Автоматический запуск после перезагрузки устройства	Автоматичний запуск після перезавантаження пристрою	Khởi động tự động sau khi khởi động lại thiết bị	डिवाइस रीस्टार्ट होने के बाद स्वचालित शुरू	ডিভাইস পুনরায় চালু হওয়ার পরে স্বয়ংক্রিয় শুরু	ڈیوائس کے دوبارہ شروع ہونے کے بعد خودکار آغاز	Mula automatik selepas peranti dimulakan semula	Anza kiotomatiki baada ya kifaa kuwashwa upya	התחלה אוטומטית לאחר הפעלה מחדש של המכשיר	Αυτόματη εκκίνηση μετά την επανεκκίνηση της συσκευής	Automatische start na herstarten van het apparaat	Automatisk start efter omstart av enheten	Pornire automată după repornirea dispozitivului	Automatikus indítás az eszköz újraindítása után	Automatický start po restartu zařízení	Automatické spustenie po reštarte zariadenia	Automatski start nakon ponovnog pokretanja uređaja	Автоматично стартиране след рестартиране на устройството
